272,Belanja Barang Operasional Lainnya - Pakaian Dinas ASN (15 Org x 3 pcs),15977000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,May 2026,Komisi Pemilihan Umum,KPU  KABUPATEN BARRU,"Sulawesi Selatan, Barru (Kab.)",67114209
273,Pengawasan Ruang Belajar and Toilet TK Negeri 39 Bojo,4927744,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,April 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",67389195
274,Pengadaan Ban Mobil Dinas,3632000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,"DINAS PERINDUSTRIAN, PERDAGANGAN DAN TENAGA KERJA","Sulawesi Selatan, Barru (Kab.)",67269402
275,Pengadaan Fotocopy and Jilid BMD Sekretariat,1520210,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",67482163
276,Pengadaan ATK Sub Kegiatan : Penyediaan Jasa Surat Menyurat,8537800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,"DINAS PANGAN, TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN","Sulawesi Selatan, Barru (Kab.)",66219745
277,Pengadaan ATK Sub Kegiatan : Penyediaan Peralatan and Perlengkapan Kantor,4800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,"DINAS PANGAN, TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN","Sulawesi Selatan, Barru (Kab.)",66180398
278,Belanja Barang Persediaan Barang Konsumsi,1326000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64485187
279,Lanjutan renovasi gedung kantor,11750694000,Pekerjaan Konstruksi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Tender,February 2026,Mahkamah Agung,PENGADILAN NEGERI BARRU 01,"Sulawesi Selatan, Barru (Kab.)",62286799
280,Perencanaan Pemb. Pagar SD and SMP,6006567,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",63881211
281,Transport,420000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64773510
282,Pengadaan Pemeliharaan Komputer-Komputer Unit-Komputer Unit Lainnya_Pemeliharaan Sarpras,2000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Sulawesi Selatan, Barru (Kab.)",64669732
283,Pengadaan Cetak Spanduk_Penyediaan Barang Cetakan and Penggandaan,568000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Sulawesi Selatan, Barru (Kab.)",64659453
284,Pengadaan Makan and Minum_Pengadaan PNS and PPPK,25814500,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Sulawesi Selatan, Barru (Kab.)",64655833
285,"Pengadaan Bahan Cetak, Jilid, and Penggandaan_Pengadaan PNS and PPPK",312500,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Sulawesi Selatan, Barru (Kab.)",64655827
286,Belanja Natura and Pakan-Natura and Pakan Lainnya,9476300,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BAGIAN ORGANISASI,"Sulawesi Selatan, Barru (Kab.)",64680228
287,Belanja Alat/Bahan Untuk Kegiatan Kantor- Bahan Perabot Kantor,70833848,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,RUMAH SAKIT UMUM DAERAH LA PATARAI,"Sulawesi Selatan, Barru (Kab.)",64658700
288,Belanja Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Bermotor Beroda Dua,1500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BAGIAN KESEJAHTERAAN RAKYAT,"Sulawesi Selatan, Barru (Kab.)",64355053
289,Pengadaan Pakaian Kegiatan MTQ Tk. Provinsi,41000000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BAGIAN KESEJAHTERAAN RAKYAT,"Sulawesi Selatan, Barru (Kab.)",64119588
290,Belanja Barang Persediaan Barang Konsumsi,5000000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64454677
291,Pengadaan Bahan Bakar Genset Pada Rumah Tahanan Negara Kelas IIB Barru - Sulawesi Selatan Tahun Anggaran 2026,22545000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,April 2026,Kementerian Imigrasi and Pemasyarakatan,PAS23 RUTAN KELAS II B BARRU,"Sulawesi Selatan, Barru (Kab.)",62100728
292,Belanja Bahan,1984000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64831498
293,Belanja Bahan,1414000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64461520
294,Belanja Perjalanan Dinas Dalam Kota,900000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64835412
295,Transport Lokal Pelaksana,2400000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64837921
296,Belanja Barang Persediaan Barang Konsumsi,1155000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64480091
297,Belanja Barang Persediaan Barang Konsumsi,5601000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64884306
298,Transport Petugas ke Lokasi,7350000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64840166
299,Pengadaan Bahan Cetak Koordinasi Dan Pelaksanaan Akuntasi Dan Pelaporan Keuangan Daerah (Akuntansi),11929760,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BADAN KEUANGAN DAN ASET DAERAH,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",64884126
300,Transport,210000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64804313
301,Belanja Modal Personal Computer,96531800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64023293
302,Transpor,1260000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64896694
