501,Pengadaan Belanja Pemeliharaan Bangunan Gedung Kantor Bupati/Rumah jabatan,388930000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,BAGIAN UMUM,"Sulawesi Selatan, Barru (Kab.)",66490146
502,Pengadaan Alat Tulis Kantor PKK,1721000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,April 2026,Kab. Barru,"DINAS PEMBERDAYAAN MASYARAKAT DAN DESA, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",66695882
503,Pengadaan Sewa kursi,750000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,April 2026,Kab. Barru,"DINAS PEMBERDAYAAN MASYARAKAT DAN DESA, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","Sulawesi Selatan, Barru (Kab.)",66691478
504,Pengadaan Sewa Dekorasi,4000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,April 2026,Kab. Barru,"DINAS PEMBERDAYAAN MASYARAKAT DAN DESA, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","Sulawesi Selatan, Barru (Kab.)",66691480
505,Pengadaan Kue untuk bosara biasa,750000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,April 2026,Kab. Barru,"DINAS PEMBERDAYAAN MASYARAKAT DAN DESA, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","Sulawesi Selatan, Barru (Kab.)",66691488
506,Pengadaan Sewa Tenda,4480000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,April 2026,Kab. Barru,"DINAS PEMBERDAYAAN MASYARAKAT DAN DESA, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","Sulawesi Selatan, Barru (Kab.)",66691495
507,Pengadaan Trophy,4500000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,April 2026,Kab. Barru,"DINAS PEMBERDAYAAN MASYARAKAT DAN DESA, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","Sulawesi Selatan, Barru (Kab.)",66691498
508,Pengadaan Sewa Pembungkus Kursi,1250000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,April 2026,Kab. Barru,"DINAS PEMBERDAYAAN MASYARAKAT DAN DESA, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","Sulawesi Selatan, Barru (Kab.)",66691471
509,Pengadaan Cetak Spanduk,454400,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,April 2026,Kab. Barru,"DINAS PEMBERDAYAAN MASYARAKAT DAN DESA, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","Sulawesi Selatan, Barru (Kab.)",66691505
510,Pengadaan Belanja Sewa Peralatan fasilitasi tamu bupati/wakil bupati,25000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,BAGIAN UMUM,"Sulawesi Selatan, Barru (Kab.)",66490119
511,Pengadaan Belanja Makanan and Minuman Jamuan Tamu Bupati/Wakil Bupati,632473400,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,BAGIAN UMUM,"Sulawesi Selatan, Barru (Kab.)",66490118
512,Belanja Pemeliharaan Peralatan and Mesin,136191000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kementerian Perhubungan,Kantor Kesyahbandaran and Otoritas Pelabuhan Garongkong,"Sulawesi Selatan, Barru (Kab.)",66639847
513,Belanja Barang Persediaan Pemeliharaan Peralatan and Mesin,136916000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kementerian Perhubungan,Kantor Kesyahbandaran and Otoritas Pelabuhan Garongkong,"Sulawesi Selatan, Barru (Kab.)",66639846
514,Belanja Makanan and Minuman Rapat,1030000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,BADAN KESATUAN BANGSA DAN POLITIK,"Sulawesi Selatan, Barru (Kab.)",66906407
515,Pengadaan Makan Minum Harian Pegawai,2941200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BAGIAN PEMERINTAHAN,"Sulawesi Selatan, Barru (Kab.)",66858384
