751,Pengadaan Bahan Lainnya,227000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,UPT LABORATORIUM KESEHATAN DAERAH,"Sulawesi Selatan, Barru (Kab.)",66124236
752,Snack,3603200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS BOJO BARU,"Sulawesi Selatan, Barru (Kab.)",66306282
753,Pemberantasan Sarang Nasi Kotak Nyamuk,142500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS BOJO BARU,"Sulawesi Selatan, Barru (Kab.)",66306161
754,Pemberantasan Sarang Snack Kotak Nyamuk,51500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS BOJO BARU,"Sulawesi Selatan, Barru (Kab.)",66306163
755,Beras,115500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66168177
756,Langganan SIMPUS,12000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66167695
757,Biaya Internet,2400000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66167694
758,Belanja Suku Cadang-Suku Cadang Lainnya,10896000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS LINGKUNGAN HIDUP,"Sulawesi Selatan, Barru (Kab.)",66165242
759,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,6371700,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,SEKRETARIAT DPRD,"Sulawesi Selatan, Barru (Kab.)",66021532
760,Kebutuhan Rumah Tangga Kantor DPRD,1129800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,SEKRETARIAT DPRD,"Sulawesi Selatan, Barru (Kab.)",66021484
761,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas and Cover,728000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,SEKRETARIAT DPRD,"Sulawesi Selatan, Barru (Kab.)",66020929
762,Belanja Penyediaan Peralatan Rumah Tangga Pimpinan DPRD,120857300,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,SEKRETARIAT DPRD,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",66387134
763,Pengadaan Jasa Service AC,1000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,KECAMATAN SOPPENG RIAJA,"Sulawesi Selatan, Barru (Kab.)",66214587
764,"Pengadaan Oli, Minyak Pelumas, Ban Luar Suku Cadang Kendaraan Dinas Roda 4",19636600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,KECAMATAN SOPPENG RIAJA,"Sulawesi Selatan, Barru (Kab.)",66209165
765,Belanja Tagihan Air,2698500,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,KECAMATAN SOPPENG RIAJA,"Sulawesi Selatan, Barru (Kab.)",66150156
766,Pengadaan Personel Komputer,10844900,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,KECAMATAN SOPPENG RIAJA,"Sulawesi Selatan, Barru (Kab.)",66204334
767,Pengadaan Makan Minum Bakohumas,4500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,KECAMATAN BALUSU,"Sulawesi Selatan, Barru (Kab.)",66077353
768,Belanja Suku Cadang-Suku Cadang Lainnya,10896000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS LINGKUNGAN HIDUP,"Sulawesi Selatan, Barru (Kab.)",66165242
769,Pengadaan ATK PSU,908100,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",67527272
770,Pengadaan ATK PSU,717000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",67527217
