No,Paket,Pagu (Rp),Jenis Pengadaan,Produk Dalam Negeri,Usaha Kecil/Koperasi,Metode,Pemilihan,K/L/PD,Satuan Kerja,Lokasi,ID
60,Pengadaan Makan Minum Pelatihan dan Penginputan SIRUP,5432000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BAGIAN PENGADAAN BARANG DAN JASA,"Sulawesi Selatan, Barru (Kab.)",65228766
61,Belanja Service Komputer,5850000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",65066545
62,"Pengadaan Bola (Koordinasi, Sinkronisasi dan Pelaksanaan Pemberdayaan Perkumpulan Olahraga dan Penyelenggaraan Kompetisi oleh Satuan Pendidikan Dasar)",4804000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,"DINAS PARIWISATA, KEPEMUDAAN DAN OLAHRAGA","Sulawesi Selatan, Barru (Kab.)",65299992
63,Pengadaan Makan Minum PIP Jenjang SD SMP,12874900,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",65284141
64,"Pengadaan Makan Minum Akreditasi SPMB AN TKA dan UJian Lomba Olahraga Lomba senin Sosialisasi Dana BOSP, Dapodik Jenjang SD",99181500,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",65285275
65,Pengadaan Barang Non Operasional Lainnya Kegiatan Perawatan Kesehatan Tahanan/ Narapidana/ Anak Pada Rumah Tahanan Negara Kelas IIB Barru - Sulawesi Selatan Tahun Anggaran 2026,2440000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kementerian Imigrasi dan Pemasyarakatan,PAS23 RUTAN KELAS II B BARRU,"Sulawesi Selatan, Barru (Kab.)",65708176
66,Pengadaan jasa lainnya Langganan Air Bersih PDAM Pada Rumah Tahanan Negara Kelas IIB Barru - Sulawesi Selatan Tahun Anggaran 2026,26160000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Imigrasi dan Pemasyarakatan,PAS23 RUTAN KELAS II B BARRU,"Sulawesi Selatan, Barru (Kab.)",65709753
67,Pengadaan jasa lainnya Langganan Pos Pada Rumah Tahanan Negara Kelas IIB Barru - Sulawesi Selatan Tahun Anggaran 2026,7200000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kementerian Imigrasi dan Pemasyarakatan,PAS23 RUTAN KELAS II B BARRU,"Sulawesi Selatan, Barru (Kab.)",65710024
68,Pengadaan Materai Sub Keg Penyediaan Jasa Surat Menyurat,171000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,DINAS PERPUSTAKAAN DAN KEARSIPAN,"Sulawesi Selatan, Barru (Kab.)",65121961
69,Pengadaan bahan cetak kebijakan pemberian fasilitas/insentif dan kemudahan penanaman modal,501600,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS PENANAMAN MODAL, PELAYANAN TERPADU SATU PINTU","Sulawesi Selatan, Barru (Kab.)",65435426
70,Ornamen Sound System Masjid Raya,375392017,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",65330785
71,Pengadaan ATK Jasa Surat Menyurat,2631600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BAGIAN ADMINISTRASI PEMBANGUNAN,"Sulawesi Selatan, Barru (Kab.)",65312028
72,Pemeliharaan Peralatan dan Mesin,3065000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BAGIAN ADMINISTRASI PEMBANGUNAN,"Sulawesi Selatan, Barru (Kab.)",65371616
73,"Pengadaan ATK, Kertas dan Cover, dan Tinta di Sekretariat",5853100,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",66004983
74,"Pengadaan ATK Kegiatan Koordinasi, Sinkronisasi dan Evaluasi Kebijakan Pendirian BUMD",890600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BAGIAN PEREKONOMIAN DAN SDA,"Sulawesi Selatan, Barru (Kab.)",65752825
75,Pengadaan  cetak spanduk Kecamatan,1533600,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,KECAMATAN TANETE RILAU,"Sulawesi Selatan, Barru (Kab.)",65461134
76,Pengadaan  makanan dan minuman tamu Lalolang 2,200000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,KECAMATAN TANETE RILAU,"Sulawesi Selatan, Barru (Kab.)",65909602
77,Pengadaan Kursi plastik Lalolang,4765000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,KECAMATAN TANETE RILAU,"Sulawesi Selatan, Barru (Kab.)",64685383
78,Iuran Air  Kelurahan tanete dan lalolang,1452150,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,KECAMATAN TANETE RILAU,"Sulawesi Selatan, Barru (Kab.)",65448544
79,Pengadaan Makan Minum Rapat kegiatan penyusunan dokumen Perencanaan,164800,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,May 2026,Kab. Barru,"DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN","Sulawesi Selatan, Barru (Kab.)",64437240
80,Pengadaan kertas kegiatan peningkatan partisipasi masyarakat and Evaluasi Kelurahan,140000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,KECAMATAN BARRU,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",64875427
81,Belanja Tagihan Speedy/internet,15600000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,KECAMATAN BARRU,"Sulawesi Selatan, Barru (Kab.)",64424602
82,Belanja Tagihan Listrik,30704310,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,KECAMATAN BARRU,"Sulawesi Selatan, Barru (Kab.)",64424601
83,"Pengadaan Makanan minuman Kegiatan Bakohumas Kecamatan, Kelurahan",5820000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,KECAMATAN BARRU,"Sulawesi Selatan, Barru (Kab.)",64425046
84,Pengadaan Kue Basah Untuk Tamu Kecamatan dan Kelurahan,616000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,KECAMATAN BARRU,"Sulawesi Selatan, Barru (Kab.)",64424335
85,Pengadaan Cetak Baliho Kegiatan Pelayanan Informasi Publik,34080000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN","Sulawesi Selatan, Barru (Kab.)",63912374
86,Pengadaan Minyak Pelumas dan Suku Cadang Kendaraan Operasional,44582800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,SATUAN POLISI PAMONG PRAJA DAN PEMADAM KEBAKARAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",65889299
87,Belanja Jasa Pihak Ketiga Petugas Trantib,264000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,SATUAN POLISI PAMONG PRAJA DAN PEMADAM KEBAKARAN,"Sulawesi Selatan, Barru (Kab.)",65296696
88,Pengadaan Bahan Pelumas dan Penggantian Suku Cadang Kendaraan Dinas Roda 4 Kecamatan dan Kelurahan,53754200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,KECAMATAN BARRU,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",66159434
89,"Pengadaan Makanan dan Minuman Rapat, Makanan dan Minuman Rapat Penentuan Pemenang, Makan Minum Aktivitas Lapangan Penilaian Berkas, Makan Minum Aktivitas Lapangan Verifikasi Lapangan Lomba Perpustakaan Desa Terbaik",17227200,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS PERPUSTAKAAN DAN KEARSIPAN,"Sulawesi Selatan, Barru (Kab.)",65636296
90,Pengadaan Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,7670000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,August 2026,Kab. Barru,INSPEKTORAT,"Sulawesi Selatan, Barru (Kab.)",66256933
91,Kacang Hijau,31200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS BOJO BARU,"Sulawesi Selatan, Barru (Kab.)",66168558
92,Pengadaan Makanan Kegiatan Penginputan Bolata Yassiberrui dan data DDA,3907500,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,August 2026,Kab. Barru,"DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN","Sulawesi Selatan, Barru (Kab.)",66204824
93,Pengadaan Materai Pengamanan Barang Milik Daerah,5130000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,BADAN KEUANGAN DAN ASET DAERAH,"Sulawesi Selatan, Barru (Kab.)",66212229
94,Pengadaan Jasa Servis Mobil AVP,1500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS PERHUBUNGAN,"Sulawesi Selatan, Barru (Kab.)",66008663
95,Pengadaan Jasa Servis Mobil HILUX PJU,3000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS PERHUBUNGAN,"Sulawesi Selatan, Barru (Kab.)",66008645
96,Belanja Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Dinas Bermotor Perorangan,5500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS LINGKUNGAN HIDUP,"Sulawesi Selatan, Barru (Kab.)",66165243
97,Belanja Peralatan dan Mesin-Alat Kantor dan Rumah Tangga-Alat Rumah Tangga-Alat Rumah Tangga Lainnya (Home Use),79400,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS LINGKUNGAN HIDUP,"Sulawesi Selatan, Barru (Kab.)",66169794
98,Belanja Bahan-Isi Tabung Gas,1160800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,DINAS LINGKUNGAN HIDUP,"Sulawesi Selatan, Barru (Kab.)",66169791
99,Belanja Modal Alat Besar Darat Lainnya,1100000000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS LINGKUNGAN HIDUP,"Sulawesi Selatan, Barru (Kab.)",66168795
100,Pengadaan ATK Subkeg. Kerjasama Pemanfaatan Data Kependudukan PIAK,698000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,"Sulawesi Selatan, Barru (Kab.)",66282642
101,Pengadaan Pakaian Olahraga Paskibraka Kecamatan Mallusetasi,3408600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,June 2026,Kab. Barru,KECAMATAN MALLUSETASI,"Sulawesi Selatan, Barru (Kab.)",66271613
102,Pengadaan Spanduk Kegiatan Kelurahan,2272000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,KECAMATAN MALLUSETASI,"Sulawesi Selatan, Barru (Kab.)",66207459
103,Pengadaan Makanan dan Minuman Forum Koordinasi Pimpinan di Kecamatan,1895200,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,KECAMATAN MALLUSETASI,"Sulawesi Selatan, Barru (Kab.)",66271762
104,BBM,1251600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66174633
105,PMT Balita,9702000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66175138
106,Ikan Banjar,64700,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66175154
107,Map,4000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66175447
108,Nasi,2964000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66207279
109,Nasi,570000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66207275
110,Jagung,8400,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66175127
111,Tenaga Kontrak Dengan Perjanjian Kerja Museum,48000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.)",66224462
112,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover,5104200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS LINGKUNGAN HIDUP,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",66463689
113,Pengadaan Peralatan dan Mesin-Alat Kantor dan Rumah Tangga-Alat Rumah Tangga-Alat Rumah Tangga Lainnya (Home Use) sub kegiatan Penyediaan Peralatan Rumah Tangga,1013100,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,"DINAS SOSIAL, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK","Sulawesi Selatan, Barru (Kab.)",66483840
114,Pengadaan Materai sub kegiatan Penyediaan Jasa Surat Menyurat,228000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,"DINAS SOSIAL, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK","Sulawesi Selatan, Barru (Kab.)",66498674
115,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover sub kegiatan penyediaan sandang,148000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,"DINAS SOSIAL, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK","Sulawesi Selatan, Barru (Kab.)",66175425
116,Pengadaan Barang untuk Dijual/Diserahkan kepada Masyarakat sub kegiatan layanan spesifik untuk pemulihan korban bagi Anak Korban Kekerasan Tingkat Kabupaten/Kota,6715200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,"DINAS SOSIAL, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK","Sulawesi Selatan, Barru (Kab.)",66483363
117,Pengadaan Makanan dan Minuman Aktivitas Lapangan sub kegiatan Layanan pendampingan korban bagi Perempuan Korban Kekerasan Tingkat Kabupaten/Kota,1164000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,"DINAS SOSIAL, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK","Sulawesi Selatan, Barru (Kab.)",66222301
118,Pencetakan Kuesioner Survey Statistik Keuangan Pemerintah Desa (K3) 2025-2026,115000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66549641
119,pencetakan buku pedoman survei kesejahteraan petani,515000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66555545
120,pengadaan atk di kab/kota,125000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66555653
121,Konsumsi Rapat Dengan Stakeholder,4481000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66555687
122,Pengadaan Makan Minum Rapat Pengembangan Ekonomi Masyarakat di Kecamatan,412500,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,March 2026,Kab. Barru,KECAMATAN BALUSU,"Sulawesi Selatan, Barru (Kab.)",66556141
123,Fotocopy PKK Kelurahan,118560,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,KECAMATAN BALUSU,"Sulawesi Selatan, Barru (Kab.)",66556121
124,"Pengadaan atk, kertas, and bahan cetak di Kab/Kota",125000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66544909
125,"pengadaan atk, kertas, and bahan cetak",125000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66546679
126,pengadaan computer supplies kabupaten/kota,1055000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66548771
127,pencetakan dokumen pelatihan petugas Survei Angkatan Kerja Nasional,1954000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66548750
128,pengadaan atk di kab/kota,500000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66548788
129,Pengadaan Materai Kecamatan,57000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,KECAMATAN BALUSU,"Sulawesi Selatan, Barru (Kab.)",66545655
130,pencetakan kuesioner vseruti26.inti (pelatihan petugas susenas maret),33000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66549474
131,pencetakan buku pedoman seruti (pelatihan petugas susenas maret),672000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66549475
132,Paket Meeting Fullday pelatihan petugas,4596000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",66549553
133,Pengadaan Alat Pembersih/Kebersihan Kecamatan,1006600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,KECAMATAN PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66173331
134,Pengadaan Alat Tulis kantor  Kecamatan,11022800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,KECAMATAN PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66245424
135,Pengadaan Jasa Servis dan Penggantian Suku Cadang Kendaraan Dinas Kecamatan,14000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,KECAMATAN PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66172783
136,Pengadaan Suku Cadang Kendaraan Dinas Operasional Kecamatan,7264000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,KECAMATAN PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66172782
137,Penyediaan Pemeliharaan Peralatan dan Mesin Lainnya,3900000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,KECAMATAN PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66172569
138,Pengadaan Cetak Program Tuberkulosis,41209900,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",66247787
139,Pengadaan Spanduk Sub Kegiatan : Penyediaan Jasa Surat Menyurat,568000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,"DINAS PANGAN, TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN","Sulawesi Selatan, Barru (Kab.)",66219747
140,Pengadaan Cetak Sub Kegiatan : Pemberdayaan Masyarakat dalam Penganekaragaman Konsumsi Pangan Berbasis Sumber Daya Lokal,1074400,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,"DINAS PANGAN, TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN","Sulawesi Selatan, Barru (Kab.)",66223074
141,Pengadaan Isi ulang gas Elpiji 3 Kg Sub Kegiatan : Penyediaan Peralatan Rumah Tangga,300000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,"DINAS PANGAN, TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN","Sulawesi Selatan, Barru (Kab.)",66180905
142,Pengadaan Makanan dan Minuman Rapat BLUD (Pengadaan Langsung),1164000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",66206540
143,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover,70000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,KECAMATAN TANETE RIAJA,"Sulawesi Selatan, Barru (Kab.)",66307345
144,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,187000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,KECAMATAN TANETE RIAJA,"Sulawesi Selatan, Barru (Kab.)",66173968
145,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,70000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,KECAMATAN TANETE RIAJA,"Sulawesi Selatan, Barru (Kab.)",66171991
146,Belanja Bahan-Bahan Kimia,675500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,KECAMATAN TANETE RIAJA,"Sulawesi Selatan, Barru (Kab.)",66306675
147,Belanja Peralatan dan Mesin-Alat Kantor dan Rumah Tangga-Alat Rumah Tangga-Alat Pembersih,1054600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,KECAMATAN TANETE RIAJA,"Sulawesi Selatan, Barru (Kab.)",66306677
148,Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor,27200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,KECAMATAN TANETE RIAJA,"Sulawesi Selatan, Barru (Kab.)",66306676
149,Belanja Natura dan Pakan-Natura,3290000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,KECAMATAN TANETE RIAJA,"Sulawesi Selatan, Barru (Kab.)",66306779
150,Penyediaan Pakaian Dinas dan Atribut DPRD,232075000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,SEKRETARIAT DPRD,"Sulawesi Selatan, Barru (Kab.)",66348871
151,Belanja Pemeliharaan Alat Kantor dan Rumah Tangga-Alat Rumah Tangga-Alat Pendingin,1500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,March 2026,Kab. Barru,KECAMATAN TANETE RIAJA,"Sulawesi Selatan, Barru (Kab.)",66361108
